"Gene","Homo_sapiens","Pan_troglodytes","gorilla_gorilla","Pongo_abelii","Macaca_mulatta","Papio_anubis","Mus_musculus","Rattus_norvegicus","Oryctolagus_cuniculus","Bos_taurus","Ovis_aries","Capra_hircus","Sus_scrofa","Equus_caballus","Felis_catus","lupus_familiaris","Monodelphis_domestica","Ornithorhynchus_anatini","Gallus_gallus","Meleagris_gallopavo","Anolis_carolinensis","Chrysemys_picta","Takifugu_rubripes","Oryzias_latipes","Danio_rerio","Lepisosteus_oculatus","Latimeria_chalumnae","Rhincodon_typus","Callorhinchus_milii"
"ApoA-II",0.241515512882072,0.23734425850954,0.241515512882072,0.239240408395632,0.249141437463913,0.248060944636537,0.255299198252691,0.245188137238503,0.256725844667102,0.259967713120432,0.26370045605764,0.264973198803113,0.254862854781471,0.243847993630895,0.258404269622842,0.261165853084868,0.263042438294366,0.210531967693227,0.20253245267859,NA,NA,0.329810247575044,NA,NA,0.244562818127813,0.251741870431442,NA,NA,NA
"ApoA-V",1.26663723581469,1.26731528831603,1.2652983080504,1.21010350104482,1.26455455629969,1.26521702568684,1.21868470337727,1.21761245866163,1.2499629940144,1.25946469104183,1.26213036497218,1.26540686001058,1.26211032685887,1.26520530402523,1.25745200196448,1.25777765176061,1.24204460038422,NA,1.03456119848268,1.05476158446441,NA,1.08912489054112,NA,NA,NA,NA,NA,NA,NA
"ApoA-IV",0.996057273959737,1.00043455574265,0.999814610034873,0.992395115608771,0.977683081174793,0.981167617927589,0.883101555595277,0.893719346470139,0.940303773257602,NA,NA,NA,NA,NA,1.00401124997173,1.00266424811922,0.886300928404243,0.864187731048981,0.942804496745246,0.939998905062109,0.93849345382833,1.11025930467165,0.704320383322171,0.70853583383749,0.730478475993396,0.828027902331478,1.39701983312857,1.002826018904,1.00169295599535
"ApoC-III",0.675665333035008,0.673830835911723,0.672013707634668,0.684436523884333,0.688238889212541,0.688167435911272,0.627435855502697,0.649893551418711,0.664729617889112,0.647505639748988,0.649228923356923,0.647566555844668,0.653752393845725,0.664490969342479,0.632562092291245,0.652403562673802,0.612562904184941,0.742899578143945,NA,NA,NA,NA,0.730248140912033,NA,0.728890144223863,NA,NA,NA,NA
"ApoC-I",1.34702095947186,1.339584325823,1.35452579400517,1.25792812203279,1.39483245718361,1.3867702057836,1.4230994463136,1.38675386096744,1.51031703429101,NA,NA,NA,NA,0.935045208613226,1.15731580984378,1.44953368549649,1.17194718955922,NA,NA,NA,1.0961903904831,1.27853619452765,NA,0.955718542719326,1.15500647052689,NA,NA,NA,NA
"ApoA-I",0.891695796429661,0.891695796429661,0.891695796429661,0.888232794298053,0.879572978753585,0.879572978753585,0.87100386880089,0.852087551407432,0.886619390116139,0.901507933850903,NA,0.898704846003823,0.895500557460151,0.889389544013607,0.853832150081223,0.908944199700908,0.865433281239266,0.991570151628002,0.998749697561739,1.00719605320394,NA,1.01516168361771,0.787694116544616,0.852443168376082,0.961183180671735,1.09225969462028,0.972279890083747,0.977658143162289,1.11623957657894
"ApoC-II",0.67566564582856,0.673831147528636,0.672014018104266,0.684436843124156,0.68823920450645,0.688167751172538,0.627436216443128,0.64989396748889,0.66473005425093,0.647506233444332,0.649229422599081,0.647567050776238,0.653753066796538,0.664491326763186,0.632562586555651,0.652403730767886,0.612563015641777,0.742899801657485,NA,NA,NA,NA,0.730248627746864,NA,0.728890356440233,NA,NA,NA,NA
"АроЕ",1.31257676980853,1.3142611299412,1.31500316124542,1.30603422587138,1.30959898308034,1.3150750110342,1.35285905710183,1.33696135622416,1.28529562526078,1.2533936735081,1.24557288999452,1.25233583612764,1.25271875678717,1.24503858282302,1.27514000269909,1.21958495389821,1.26258264351987,1.43918632036413,NA,NA,0.733487089038527,1.21601790759832,0.825575396219563,0.804316537573404,0.931034492158768,0.981297768154589,1.00392594636283,NA,NA
"ApoA-II",4.14052078090853,4.21328919553285,4.14052078090853,4.17989589094121,4.01378433944712,4.03126740271516,3.91697273960969,4.07850074339961,3.89520580328291,3.84663152203344,3.79218153411695,3.77396659177989,3.92367887763572,4.10091543141286,3.86990509661301,3.82898448701501,3.8016679228046,4.74987248234497,4.9374803236445,NA,NA,3.03204647930918,NA,NA,4.08892900259835,3.97232291269694,NA,NA,NA
"ApoA-V",0.789492027965534,0.789069625545804,0.790327461625098,0.826375594431873,0.790792295214355,0.790378235273223,0.82055678325063,0.821279375786919,0.800023684531961,0.793988118216162,0.792311180962706,0.790259663987944,0.792323760228466,0.790385557836756,0.795258982798331,0.795053083190197,0.805124066954324,NA,0.966593374530802,0.948081552010428,NA,0.918168346610058,NA,NA,NA,NA,NA,NA,NA
"ApoA-IV",1.00395833266152,0.999565633014021,1.00018542434094,1.00766316185118,1.02282633222863,1.01919384795045,1.13237259482113,1.11891949519682,1.06348610783044,NA,NA,NA,NA,NA,0.996004775870945,0.997342831237658,1.12828495147858,1.15715597904424,1.06066528474589,1.06383102641372,1.06553753350199,0.900690492565374,1.41980840492384,1.41136122161093,1.36896572981165,1.20768877133766,0.715809451151841,0.99718194497278,0.998309905260675
"ApoC-III",1.4800226548669,1.48405200045046,1.48806488415209,1.46105586873823,1.4529838631237,1.45313472828862,1.59378841873614,1.53871352903412,1.50437106018468,1.54438809272404,1.54028873949326,1.54424281330531,1.52963111020896,1.50491134738748,1.58087247431763,1.53279359159477,1.63248540381428,1.34607695228256,NA,NA,NA,NA,1.36939752938099,NA,1.37194885666182,NA,NA,NA,NA
