
 Allobates femoralis
 Amolops wuyiensis
 Anaxyrus baxteri
 Aquarana catesbeiana
 Boana pugnax
 Bombina bombina
 Bombina orientalis
 Bombina pachypus
 Bombina variegata scabra
 Bombina variegata variegata
 Boulenophrys sangzhiensis
 Bufo bufo
 Bufo gargarizans
 Bufotes viridis
 Dendropsophus ebraccatus
 Discoglossus pictus
 Dryophytes cinereus
 Eleutherodactylus coqui
 Engystomops pustulosus
 Gastrophryne carolinensis
 Glandirana rugosa
 Hyla sarda
 Hymenochirus boettgeri
 Leptobrachium ailaonicum
 Leptobrachium boringii
 Leptobrachium leishanense
 Leptodactylus fallax
 Leptodactylus fuscus
 Limnodynastes dumerilii
 Lithobates clamitans
 Lithobates pipiens
 Lithobates sylvaticus
 Lithobates yavapaiensis
 Mantella betsileo
 Microhyla fissipes
 Nanorana parkeri
 Odorrana margaretae
 Odorrana tormota
 Oophaga pumilio
 Oophaga sylvatica
 Oreobates cruralis
 Pelobates cultripes
 Pelophylax nigromaculatus
 Phrynoglossus myanhessei
 Phyllomedusa bahiana
 Pipa carvalhoi
 Pipa parva
 Platyplectrum ornatum
 Polypedates megacephalus
 Pseudacris regilla
 Pseudis tocantins
 Pseudophryne corroboree
 Pyxicephalus adspersus
 Rana kukunoris
 Rana muscosa
 Rana temporaria
 Ranitomeya imitator
 Rhacophorus dennysi
 Rhinella arenarum
 Rhinella diptycha
 Rhinella marina
 Scaphiopus couchii
 Scaphiopus holbrookii
 Scutiger cf. sikimmensis SH-2019
 Spea bombifrons
 Spea hammondii
 Spea multiplicata
 Staurois parvus
 Taudactylus pleione
 Xenopus borealis
 Xenopus laevis
 Xenopus tropicalis
 Zhangixalus arboreus
 Zhangixalus omeimontis
