"","Homo_sapiens","Pan_troglodytes","gorilla_gorilla","Pongo_abelii","Papio_anubis","Macaca_mulatta","Capra_hircus","Ovis_aries","Bos_taurus","Sus_scrofa","lupus_familiaris","Felis_catus","Equus_caballus","Rattus_norvegicus","Mus_musculus","Monodelphis_domestica","Ornithorhynchus_anatinus","Latimeria_chalumnae","Lepisosteus_oculatus","Oryzias_latipes","Takifugu_rubripes","Danio_rerio","Anolis_carolinensis","Xenopus_tropicalis","picta_bellii","Lithobates_sylvaticus","Oryctolagus_cuniculus"
"Homo_sapiens",0,0.0302727142,0.0285749292,0.0558330893,0.0659693093,0.0788098755,0.4973268919,0.5143137763,0.494833788,0.4967094856,0.5763073779,0.4394425399,0.5148769437,0.4895448821,0.4543435568,1.2636999586,1.498140727,2.8068182613,2.8975443733,3.7757675765,3.6488598485,3.1070219095,4.2249548805,2.8211644476,2.1281318302,2.9206361476,0.3620403991
"Pan_troglodytes",0.0302727142,0,0.0113606042,0.0520269733,0.0621631933,0.0750037595,0.4935207759,0.5105076603,0.491027672,0.4929033696,0.5725012619,0.4356364239,0.5110708277,0.4857387661,0.4505374408,1.2598938426,1.494334611,2.8030121453,2.8937382573,3.7719614605,3.6450537325,3.1032157935,4.2211487645,2.8173583316,2.1243257142,2.9168300316,0.3582342831
"gorilla_gorilla",0.0285749292,0.0113606042,0,0.0503291883,0.0604654083,0.0733059745,0.4918229909,0.5088098753,0.489329887,0.4912055846,0.5708034769,0.4339386389,0.5093730427,0.4840409811,0.4488396558,1.2581960576,1.492636826,2.8013143603,2.8920404723,3.7702636755,3.6433559475,3.1015180085,4.2194509795,2.8156605466,2.1226279292,2.9151322466,0.3565364981
"Pongo_abelii",0.0558330893,0.0520269733,0.0503291883,0,0.0808158904,0.0936564566,0.512173473,0.5291603574,0.5096803691,0.5115560667,0.591153959,0.454289121,0.5297235248,0.5043914632,0.4691901379,1.2785465397,1.5129873081,2.8216648424,2.9123909544,3.7906141576,3.6637064296,3.1218684906,4.2398014616,2.8360110287,2.1429784113,2.9354827287,0.3768869802
"Papio_anubis",0.0659693093,0.0621631933,0.0604654083,0.0808158904,0,0.0204283442,0.4915882452,0.5085751296,0.4890951413,0.4909708389,0.5705687312,0.4337038932,0.509138297,0.4838062354,0.4486049101,1.2579613119,1.4924020803,2.8010796146,2.8918057266,3.7700289298,3.6431212018,3.1012832628,4.2192162338,2.8154258009,2.1223931835,2.9148975009,0.3563017524
"Macaca_mulatta",0.0788098755,0.0750037595,0.0733059745,0.0936564566,0.0204283442,0,0.5044288114,0.5214156958,0.5019357075,0.5038114051,0.5834092974,0.4465444594,0.5219788632,0.4966468016,0.4614454763,1.2708018781,1.5052426465,2.8139201808,2.9046462928,3.782869496,3.655961768,3.114123829,4.2320568,2.8282663671,2.1352337497,2.9277380671,0.3691423186
"Capra_hircus",0.4973268919,0.4935207759,0.4918229909,0.512173473,0.4915882452,0.5044288114,0,0.0313545896,0.0932758139,0.4369016675,0.6187689844,0.4819041464,0.5573385502,0.6368253172,0.6016239919,1.4109803937,1.6454211621,2.9540986964,3.0448248084,3.9230480116,3.7961402836,3.2543023446,4.3722353156,2.9684448827,2.2754122653,3.0679165827,0.5630071482
"Ovis_aries",0.5143137763,0.5105076603,0.5088098753,0.5291603574,0.5085751296,0.5214156958,0.0313545896,0,0.1102626983,0.4538885519,0.6357558688,0.4988910308,0.5743254346,0.6538122016,0.6186108763,1.4279672781,1.6624080465,2.9710855808,3.0618116928,3.940034896,3.813127168,3.271289229,4.3892222,2.9854317671,2.2923991497,3.0849034671,0.5799940326
"Bos_taurus",0.494833788,0.491027672,0.489329887,0.5096803691,0.4890951413,0.5019357075,0.0932758139,0.1102626983,0,0.4344085636,0.6162758805,0.4794110425,0.5548454463,0.6343322133,0.599130888,1.4084872898,1.6429280582,2.9516055925,3.0423317045,3.9205549077,3.7936471797,3.2518092407,4.3697422117,2.9659517788,2.2729191614,3.0654234788,0.5605140443
"Sus_scrofa",0.4967094856,0.4929033696,0.4912055846,0.5115560667,0.4909708389,0.5038114051,0.4369016675,0.4538885519,0.4344085636,0,0.6181515781,0.4812867401,0.5567211439,0.6362079109,0.6010065856,1.4103629874,1.6448037558,2.9534812901,3.0442074021,3.9224306053,3.7955228773,3.2536849383,4.3716179093,2.9678274764,2.274794859,3.0672991764,0.5623897419
"lupus_familiaris",0.5763073779,0.5725012619,0.5708034769,0.591153959,0.5705687312,0.5834092974,0.6187689844,0.6357558688,0.6162758805,0.6181515781,0,0.2430461296,0.548078497,0.7158058032,0.6806044779,1.4899608797,1.7244016481,3.0330791824,3.1238052944,4.0020284976,3.8751207696,3.3332828306,4.4512158016,3.0474253687,2.3543927513,3.1468970687,0.6419876342
"Felis_catus",0.4394425399,0.4356364239,0.4339386389,0.454289121,0.4337038932,0.4465444594,0.4819041464,0.4988910308,0.4794110425,0.4812867401,0.2430461296,0,0.411213659,0.5789409652,0.5437396399,1.3530960417,1.5875368101,2.8962143444,2.9869404564,3.8651636596,3.7382559316,3.1964179926,4.3143509636,2.9105605307,2.2175279133,3.0100322307,0.5051227962
"Equus_caballus",0.5148769437,0.5110708277,0.5093730427,0.5297235248,0.509138297,0.5219788632,0.5573385502,0.5743254346,0.5548454463,0.5567211439,0.548078497,0.411213659,0,0.654375369,0.6191740437,1.4285304455,1.6629712139,2.9716487482,3.0623748602,3.9405980634,3.8136903354,3.2718523964,4.3897853674,2.9859949345,2.2929623171,3.0854666345,0.5805572
"Rattus_norvegicus",0.4895448821,0.4857387661,0.4840409811,0.5043914632,0.4838062354,0.4966468016,0.6368253172,0.6538122016,0.6343322133,0.6362079109,0.7158058032,0.5789409652,0.654375369,0,0.0913352923,1.2114374975,1.4458782659,2.7545558002,2.8452819122,3.7235051154,3.5965973874,3.0547594484,4.1726924194,2.7689019865,2.0758693691,2.8683736865,0.5552251384
